id,logged_at,alert_zone,alert_message,spy_price,snap_level,snap_distance,snap_direction,regime,bias,net_gex,net_dex
1,2026-03-11T17:32:37,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
2,2026-03-11T17:32:38,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
3,2026-03-11T17:32:38,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
4,2026-03-11T17:32:39,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
5,2026-03-11T17:32:40,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
6,2026-03-11T17:32:40,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
7,2026-03-11T17:32:41,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
8,2026-03-11T17:32:41,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
9,2026-03-11T17:32:42,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
10,2026-03-11T17:32:42,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
11,2026-03-11T17:32:43,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
12,2026-03-11T17:32:43,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
13,2026-03-11T17:32:44,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
14,2026-03-11T17:32:44,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
15,2026-03-11T17:32:45,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
16,2026-03-11T17:32:45,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
17,2026-03-11T17:32:46,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
18,2026-03-11T17:32:46,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
19,2026-03-11T17:32:47,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
20,2026-03-11T17:32:48,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
21,2026-03-11T17:32:48,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
22,2026-03-11T17:32:49,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
23,2026-03-11T17:32:49,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
