id,logged_at,model_version,symbol,strike,option_type,direction,score,trend,mark,bid,ask,delta,theta,iv,volume,gex_negative,dex_bias,spy_price,surge,out_5m_price,out_5m_pnl,out_5m_correct,out_10m_price,out_10m_pnl,out_10m_correct,out_15m_price,out_15m_pnl,out_15m_correct,out_30m_price,out_30m_pnl,out_30m_correct
1,2026-03-11T16:12:05,v2.0,.SPY260311P677,677.0,Put,Bearish,47.3,Choppy,0.945,0.92,0.97,0.81,-0.1,18.57,223791.0,0,Bullish,676.33,0,0.975,3.17,0,0.975,3.17,0,0.975,3.17,0,0.975,3.17,0
2,2026-03-11T16:12:05,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.145,4.04,4.25,1.0,0.0,33.37,16276.0,0,Bullish,676.33,0,4.04,-2.53,0,4.04,-2.53,0,4.04,-2.53,0,4.04,-2.53,0
3,2026-03-11T16:12:05,v2.0,.SPY260311C673,673.0,Call,Bullish,42.1,Choppy,3.155,3.06,3.25,0.99,-0.01,26.19,48176.0,0,Bullish,676.33,0,3.065,-2.85,0,3.065,-2.85,0,3.065,-2.85,0,3.065,-2.85,0
4,2026-03-11T16:12:10,v2.0,.SPY260311P681,681.0,Put,Bearish,44.5,Choppy,4.845,4.76,0.0,0.93,-0.07,59.08,11579.0,1,Bullish,676.33,0,4.945,2.06,0,4.945,2.06,0,4.945,2.06,0,4.945,2.06,0
5,2026-03-11T16:12:19,v2.0,.SPY260311P676,676.0,Put,Bearish,55.4,Choppy,0.22,0.21,0.23,0.39,-0.22,15.43,299288.0,1,Bullish,676.33,1,0.265,20.45,0,0.265,20.45,0,0.265,20.45,0,0.265,20.45,0
6,2026-03-11T16:12:22,v2.0,.SPY260311C676,676.0,Call,Bullish,55.4,Choppy,0.415,0.4,0.43,0.6,-0.23,15.23,538430.0,1,Bullish,676.33,1,0.295,-28.92,0,0.295,-28.92,0,0.295,-28.92,0,0.295,-28.92,0
7,2026-03-11T16:13:05,v2.0,.SPY260311P677,677.0,Put,Bearish,47.3,Choppy,0.935,0.91,0.96,0.82,-0.09,17.83,223811.0,0,Bullish,676.33,0,0.975,4.28,0,0.975,4.28,0,0.975,4.28,0,0.975,4.28,0
8,2026-03-11T16:13:05,v2.0,.SPY260311C672,672.0,Call,Bullish,43.2,Choppy,4.165,4.04,4.29,0.98,-0.02,39.48,16276.0,0,Bullish,676.33,0,4.04,-3.0,0,4.04,-3.0,0,4.04,-3.0,0,4.04,-3.0,0
9,2026-03-11T16:13:05,v2.0,.SPY260311C673,673.0,Call,Bullish,42.3,Choppy,3.175,3.06,3.29,0.97,-0.03,34.12,48176.0,0,Bullish,676.33,0,3.065,-3.46,0,3.065,-3.46,0,3.065,-3.46,0,3.065,-3.46,0
10,2026-03-11T16:13:08,v2.0,.SPY260311C675,675.0,Call,Bullish,43.4,Choppy,1.14,1.11,1.17,0.94,-0.02,14.22,372403.0,0,Bullish,676.33,1,1.05,-7.89,0,1.05,-7.89,0,1.05,-7.89,0,1.05,-7.89,0
