id,model_version,symbol,strike,option_type,direction,surfaced_at,entry_score,entry_mark,entry_bid,entry_ask,entry_delta,entry_theta,entry_iv,entry_volume,entry_spy,entry_spy_vol_rate,entry_spy_vol_ratio,entry_trend,entry_regime,entry_bias,entry_net_gex,entry_net_dex,entry_call_wall,entry_put_wall,entry_max_pain,entry_gex_anchor,entry_surge,status,confirmed_at,confirmed_score,confirmed_spy,invalidated_at,invalidation_reason,invalidation_spy,invalidation_mark,spy_move_at_invalidation,vol_confirmed,reentry_count,last_reentry_at,out_5m_mark,out_5m_pnl_pct,out_5m_correct,out_10m_mark,out_10m_pnl_pct,out_10m_correct,out_15m_mark,out_15m_pnl_pct,out_15m_correct,out_30m_mark,out_30m_pnl_pct,out_30m_correct,traded,trade_fill_price,trade_qty,trade_pnl_pct
1,v2.1,.SPY260311P677,677.0,Put,Bearish,2026-03-11T17:06:57,57.5,0.975,0.9,1.05,1.0,0.0,10.67,224093.0,676.33,0.0,1.0,Choppy,TRENDING,Bullish,-66056349.85184898,-2260958339.7300005,685,670,677,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
2,v2.1,.SPY260311C672,672.0,Call,Bullish,2026-03-11T17:06:57,56.9,4.04,3.94,4.14,0.78,-0.55,87.41,16276.0,676.33,0.0,1.0,Choppy,TRENDING,Bullish,-66056349.85184898,-2260958339.7300005,685,670,677,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
3,v2.1,.SPY260311C673,673.0,Call,Bullish,2026-03-11T17:06:57,55.4,3.065,2.94,3.19,0.75,-0.58,73.95,48176.0,676.33,0.0,1.0,Choppy,TRENDING,Bullish,-66056349.85184898,-2260958339.7300005,685,670,677,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
4,v2.1,.SPY260311C676,676.0,Call,Bullish,2026-03-11T17:06:57,52.0,0.295,0.28,0.31,0.36,-0.3,23.91,541865.0,676.33,67592758.0,4.0,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
5,v2.1,.SPY260311P676,676.0,Put,Bearish,2026-03-11T17:06:59,48.1,0.265,0.26,0.27,1.0,0.0,0.0,300436.0,676.33,1.0,8.876690475084764e-08,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
6,v2.1,.SPY260311P681,681.0,Put,Bearish,2026-03-11T17:06:59,44.7,4.945,4.84,0.0,1.0,0.0,0.0,11724.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
7,v2.1,.SPY260311C676,676.0,Call,Bullish,2026-03-11T17:29:33,47.5,0.295,0.28,0.31,0.35,-0.3,24.47,541865.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,106675447.3301688,-2218419211.7200003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
8,v2.1,.SPY260311P676,676.0,Put,Bearish,2026-03-11T17:29:33,45.7,0.265,0.26,0.27,1.0,0.0,0.0,300436.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,106675447.3301688,-2218419211.7200003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
9,v2.1,.SPY260311P681,681.0,Put,Bearish,2026-03-11T17:29:33,42.5,4.945,4.84,0.0,1.0,0.0,0.0,11724.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,106675447.3301688,-2218419211.7200003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
10,v2.1,.SPY260311C676,676.0,Call,Bullish,2026-03-11T17:32:14,47.5,0.295,0.28,0.31,0.36,-0.3,23.91,541865.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
11,v2.1,.SPY260311P676,676.0,Put,Bearish,2026-03-11T17:32:14,45.7,0.265,0.26,0.27,1.0,0.0,0.0,300436.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
12,v2.1,.SPY260311P681,681.0,Put,Bearish,2026-03-11T17:32:14,42.5,4.945,4.84,0.0,1.0,0.0,0.0,11724.0,676.33,0.0,0.0,Choppy,PINNED,Neutral,230568268.86173388,-2203015119.6400003,685,662,676,676,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
13,v2.1,.SPY250708C616,616.0,Call,Bullish,2026-03-11T17:40:13,64.2,4.74,4.73,4.75,0.83,-0.04,50.85,15.0,620.7,10.0,4.8509120684871174e-05,Uptrend,PINNED,Bullish,2043294552.8244002,-2997532233.9,625,615,622,618,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
14,v2.1,.SPY250708C617,617.0,Call,Bullish,2026-03-11T17:40:13,64.1,3.805,3.8,3.81,0.75,-0.1,47.49,261.0,620.7,10.0,4.8509120684871174e-05,Uptrend,PINNED,Bullish,2043294552.8244002,-2997532233.9,625,615,622,618,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
15,v2.1,.SPY250708C618,618.0,Call,Bullish,2026-03-11T17:40:13,62.8,2.895,2.87,2.92,0.67,-0.19,43.9,299.0,620.7,10.0,4.8509120684871174e-05,Uptrend,PINNED,Bullish,2043294552.8244002,-2997532233.9,625,615,622,618,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
16,v2.1,.SPY250708C621,621.0,Call,Bullish,2026-03-11T17:40:21,45.4,0.755,0.75,0.76,0.26,0.0,36.01,4458.0,620.765,0.0,0.0,Choppy,PINNED,Bullish,1918892509.7301142,-2620581174.2749996,625,615,622,618,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
17,v2.1,.SPY250708P625,625.0,Put,Bearish,2026-03-11T17:40:28,45.7,4.36,4.42,4.3,1.0,0.0,0.2,22.0,620.75,29.0,0.04117855875044373,Choppy,PINNED,Bullish,1996204979.03125,-2654655997.4999995,625,615,622,618,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
18,v2.1,.SPY250708C622,622.0,Call,Bullish,2026-03-11T17:40:34,46.0,0.365,0.36,0.37,0.13,-0.37,34.8,3750.0,620.78,95.0,0.14898455265427743,Choppy,PINNED,Bullish,1918985246.064808,-2627197450.9799995,625,615,622,618,1,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
19,v2.1,.SPY250708P621,621.0,Put,Bearish,2026-03-11T17:41:20,43.3,0.955,0.93,0.98,1.0,0.0,0.2,1707.0,620.9001,0.0,0.0,Choppy,PINNED,Bullish,1913436199.4156432,-2228234123.2716,625,615,622,620,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
20,v2.1,.SPY250708P622,622.0,Put,Bearish,2026-03-11T17:41:20,42.5,1.565,1.55,1.58,0.97,-20.3,0.2,519.0,620.9001,0.0,0.0,Choppy,PINNED,Bullish,1913436199.4156432,-2228234123.2716,625,615,622,620,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
21,v2.1,.SPY250715C625,625.0,Call,Bullish,2026-03-11T17:43:56,57.3,1.845,1.83,1.86,0.51,-0.7,26.39,110.0,626.15,0.0,0.0,Uptrend,TRENDING,Bullish,-15420509202.955673,-3417712666.5499997,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
22,v2.1,.SPY250715C626,626.0,Call,Bullish,2026-03-11T17:43:56,56.1,1.235,1.23,1.24,0.39,-1.09,24.57,135.0,626.15,0.0,0.0,Uptrend,TRENDING,Bullish,-15420509202.955673,-3417712666.5499997,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
23,v2.1,.SPY250715C627,627.0,Call,Bullish,2026-03-11T17:43:56,44.5,0.76,0.76,0.76,0.28,-0.76,22.88,369.0,626.15,0.0,0.0,Uptrend,TRENDING,Bullish,-15420509202.955673,-3417712666.5499997,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
24,v2.1,.SPY250715P619,619.0,Put,Bearish,2026-03-11T17:44:01,42.9,0.1,0.1,0.1,0.99,-2.02,0.19,25.0,626.18,12230.0,13.159027329459867,Choppy,TRENDING,Bullish,-11143388257.534584,-5259163088.719999,630,619,619,625,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
25,v2.1,.SPY250715P627,627.0,Put,Bearish,2026-03-11T17:44:53,40.6,1.715,1.74,1.69,0.99,-9.19,0.19,248.0,625.98,913.0,0.5702863924544801,Choppy,PINNED,Neutral,969141469.299696,-5711954197.62,630,619,619,623,1,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
26,v2.1,.SPY250715P620,620.0,Put,Bearish,2026-03-11T17:45:24,41.8,0.125,0.12,0.13,0.99,-3.15,0.19,146.0,626.04,520.0,0.6238003838771593,Choppy,PINNED,Neutral,1379172204.107136,-4367249405.639999,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
27,v2.1,.SPY250715P625,625.0,Put,Bearish,2026-03-11T17:46:01,42.2,0.645,0.64,0.65,0.99,0.0,0.19,411.0,626.38,18542.0,4.690733385615624,Choppy,TRENDING,Bullish,-1989322243.2840998,-3954677690.72,630,619,622,623,1,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
28,v2.1,.SPY250715P622,622.0,Put,Bearish,2026-03-11T17:47:03,41.4,0.2,0.19,0.21,0.99,-4.89,0.19,117.0,626.29,982.0,0.7008028545941124,Choppy,TRENDING,Bullish,-3500330533.2534766,-4600919237.32,630,619,622,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
29,v2.1,.SPY250715P626,626.0,Put,Bearish,2026-03-11T17:59:56,40.2,1.45,1.47,1.43,1.0,0.0,0.19,472.0,625.5,0.0,0.0,Choppy,TRENDING,Bullish,-44504715.93750051,-4166527432.5,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
30,v2.1,.SPY250715P627,627.0,Put,Bearish,2026-03-11T18:05:53,40.2,1.795,1.78,1.81,1.0,0.0,0.19,386.0,625.78,0.0,0.0,Choppy,PINNED,Neutral,1049180266.031364,-5383695477.28,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
31,v2.1,.SPY250715C628,628.0,Call,Bullish,2026-03-11T18:08:32,40.0,0.355,0.35,0.36,0.16,-0.36,20.46,1114.0,626.08,3654.0,2.2946495855312734,Choppy,TRENDING,Bullish,-7780526995.195135,-3741996891.36,630,619,619,625,1,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
32,v2.1,.SPY250715P626,626.0,Put,Bearish,2026-03-11T18:12:35,40.2,1.18,1.18,1.18,1.0,0.0,0.2,688.0,625.765,551.0,0.33555616455040954,Choppy,PINNED,Neutral,1139890806.521623,-5757334612.61,630,619,619,623,0,ACTIVE,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
